periodCode,accountCode,currency,dimensionKey,debitOriginal,creditOriginal,exchangeRate
2026-06,22410041,CNY,,25996.59,0.00,1
2026-06,22410042,CNY,,500.00,0.00,1
2026-06,22410043,CNY,,0.00,1317.54,1
2026-06,22410044,CNY,,45000.00,0.00,1
2026-06,22410045,CNY,,0.00,2476.00,1
2026-06,22410046,CNY,,0.00,2717.01,1
2026-06,22410047,CNY,,0.00,2999.00,1
2026-06,22410049,CNY,,6500.00,0.00,1
2026-06,22410050,CNY,,5300.00,0.00,1
2026-06,22410052,CNY,,55000.00,0.00,1
2026-06,22410053,CNY,,23799.00,0.00,1
2026-06,22410054,CNY,,500.00,0.00,1
2026-06,22410057,CNY,,15000.00,0.00,1
2026-06,22410058,CNY,,0.00,9.40,1
2026-06,22410059,CNY,,20670.00,0.00,1
2026-06,22410060,CNY,,0.00,9.20,1
2026-06,22410061,CNY,,0.00,14.50,1
2026-06,22410063,CNY,,200000.00,0.00,1
2026-06,22410064,CNY,,150000.00,0.00,1
2026-06,22410065,CNY,,0.00,27900.00,1
2026-06,22410067,CNY,,26500.00,0.00,1
2026-06,22410068,CNY,,0.00,130064.68,1
2026-06,22410069,CNY,,0.00,202.40,1
2026-06,22410070,CNY,,0.00,1250.00,1
2026-06,22410071,CNY,,0.00,978.00,1
2026-06,22410072,CNY,,0.00,600.00,1
2026-06,22410073,CNY,,0.00,4751.38,1
2026-06,22410074,CNY,,0.00,1070.00,1
2026-06,22410076,CNY,,39930.00,0.00,1
2026-06,22410077,CNY,,6000.00,0.00,1
2026-06,22410078,CNY,,0.00,13000.00,1
2026-06,22410080,CNY,,0.00,50998.91,1
2026-06,22410081,CNY,,0.00,12000.00,1
2026-06,22410082,CNY,,0.00,6.00,1
2026-06,22410083,CNY,,0.00,40.50,1
2026-06,22410084,CNY,,0.00,4995.00,1
2026-06,22410085,CNY,,0.00,422000.00,1
2026-06,22410086,CNY,,0.00,52052.00,1
2026-06,22410087,CNY,,0.00,60000.00,1
2026-06,22410088,CNY,,0.00,3878.50,1
2026-06,22410089,CNY,,10000.00,0.00,1
2026-06,22410090,CNY,,0.00,643.50,1
2026-06,22410091,CNY,,0.00,12800.00,1
2026-06,22410092,CNY,,0.00,120000.00,1
2026-06,22410093,CNY,,0.00,30000.00,1
2026-06,22410094,CNY,,23850.00,0.00,1
2026-06,22410095,CNY,,0.00,10900.00,1
2026-06,22410096,CNY,,48000.00,0.00,1
2026-06,22410097,CNY,,0.00,1916.00,1
2026-06,22410098,CNY,,11667.77,0.00,1
2026-06,22410099,CNY,,0.00,2252.88,1
2026-06,22410100,CNY,,0.00,300.00,1
2026-06,22410101,CNY,,0.00,226.80,1
2026-06,22410102,CNY,,0.00,194.20,1
2026-06,22410103,CNY,,0.00,4400.00,1
2026-06,22410104,CNY,,0.00,48.00,1
2026-06,22410105,CNY,,0.00,1400.00,1
2026-06,22410106,CNY,,0.00,5899.00,1
2026-06,22410107,CNY,,0.00,1697064.79,1
2026-06,22410108,CNY,,0.00,67984.49,1
2026-06,22410109,CNY,,3460.00,0.00,1
2026-06,22410110,CNY,,9924.00,0.00,1
2026-06,22410111,CNY,,6452.00,0.00,1
2026-06,22410113,CNY,,0.00,7000.00,1
2026-06,22410114,CNY,,500.00,0.00,1
2026-06,22410115,CNY,,89091.53,0.00,1
2026-06,22410116,CNY,,27000.00,0.00,1
2026-06,22410117,CNY,,4127.34,0.00,1
2026-06,22410118,CNY,,0.00,150000.00,1
2026-06,22410119,CNY,,13000.00,0.00,1
2026-06,3001,CNY,,0.00,500000.00,1
2026-06,3103,CNY,,0.00,1423536.13,1
2026-06,31040015,CNY,,0.00,4826703.70,1
2026-06,43010001001,CNY,,1070408.62,0.00,1
2026-06,43010001002,CNY,,49021.37,0.00,1
2026-06,43010001008,CNY,,61247.80,0.00,1
2026-06,44030001,CNY,,166270.40,0.00,1
